"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Category","Main",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Dataset","AFR Regional Economic Outlook (AFRREO)",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Definition","AFR Regional Economic Outlook (REO) provides information on recent economic developments and prospects for countries in Sub-Saharan Africa. Data for the REO for Sub-Saharan Africa is prepared in conjunction with the semi-annual World Economic Outlook (WEO) exercises, spring and fall. Data are consistent with the projections underlying the WEO. REO aggregate data may differ from WEO aggregates due to differences in group membership. Composite data for country groups are weighted averages of data for individual countries. Arithmetic weighted averages are used for all concepts except for inflation and broad money, for which geometric averages are used. PPP GDP weights from the WEO database are used for the aggregation of real GDP growth, real non-oil GDP growth, real per capita GDP growth, investment, national savings, broad money, claims on the nonfinancial private sector, and real and nominal effective exchange rates. Aggregates for other concepts are weighted by GDP in U.S. dollars at market exchange rates.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Frequency","Annual",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Geographic Coverage","Angola; Benin; Botswana; Burkina Faso; Burundi; Cameroon; Cape Verde; C.A.R.; Chad; Comoros; Congo; Congo, D.R.; Cote d'Ivoire; Equitorial Guinea; Eritrea; Ethiopia; Gabon; Gambia, The; Ghana; Guinea; Guinea-Bissau; Kenya; Lesotho; Liberia; Madagascar; Malawi; Mali; Mauritius; Mozambique; Namibia; Niger; Nigeria; Rwanda; Sao Tome & Principe; Senegal; Seychelles; Sierra Leone; South Africa; South Sudan; Swaziland; Tanzania; Togo; Uganda; Zambia; Zimbabwe; Sub-Saharan Africa; Sub-Saharan Africa excluding South Sudan; Sub-Saharan Africa excluding South Africa and Nigeria; Oil-importing countries (AFR); Oil-importing countries excluding South Africa (AFR); CFA franc zone; WAEMU; CEMAC; EAC-5; SADC; SACU; COMESA (AFR); MDRI countries; Fixed exchange rate regime countries (AFR); Floating exchange rate regime countries (AFR); Oil-exporting countries (AFR); Oil-exporting countries excluding Nigeria (AFR); Middle-income countries (AFR); Middle-income countries excluding South Africa (AFR); Low-income and fragile countries (AFR); Low-income excluding fragile countries (AFR); Fragile countries (AFR)",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Latest Update Date","10/10/2023",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Methodology","AFR REO follows WEO methodology. The AFR REO publication contains additional information on assumptions, conventions, and country groupings. See Documents tab.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Sectoral Coverage","National Accounts, Prices, Government and Public Sector Finance, Financial Indicators, Balance of Payments, International Reserves, External Trade, Exchange Rates.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Tag","Home Page",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Temporal Coverage","Annual data starting in year of publication - 8 and projections up to the year of publication + 1.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Topics","External Sector,Financial Sector,Fiscal Sector,Real Sector",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","","","","","Update Frequency","Semi-annual",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country Code","614",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=AGO target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country Full Name","Angola",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country ISO 2 Code","AO",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country ISO 3 Code","AGO",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country Name","Angola",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country SDMX Code","AO",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country SDMX Name","Angola",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country Short Name","Angola              ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Angola","614","","","Country Source Code","614",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country Code","638",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=BEN target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country Full Name","Benin",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country ISO 2 Code","BJ",""
