"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
"Oman","449","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","1.04131956","1.02234314","0.06529013","1.10920806","1.59716060","0.88130210","0.13379506","-0.90387487","1.54663706","2.81184097","1.05094303",
"Egypt","469","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","20.34356906","18.89344425","19.90428067","19.04832571","20.17086901","19.58765162","19.25559507","18.14122972","18.54355630","18.88542302","18.11219109",
"Qatar","453","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","3.14253648","4.24374320","0.93945720","2.68872802","0.60422961","0.10010010","-0.90000000","-2.52270434","2.27743271","4.95951417","2.83712888",
"CCA","949","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","69212204326.77699300","73763748749.28819300","63807171236.21340200","67700009342.90480000","73026711397.19119300","72385597100.12759400","74478786455.60859700","88321271417.23510700","89473761338.72790500","95405271111.56559800","93431260310.37829600",
"Armenia","911","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","5.71367535","3.01993049","3.69599050","-1.42425237","1.18927354","2.48593329","1.44278585","1.22648000","7.20180576","8.64923622","3.46911631",
"Djibouti","611","Imports of goods and services, billions of US dollars","BM_USD","Value","3911141875.74907020","3122554799.20774980","2980595334.25988050","2847426376.51149990","4306020582.26095960","4188952353.40787030","4763673116.85169030","3424743487.77016020","5170868721.19783020","5165342212.17263030","5865967248.32801060",
"GCC","450","Crude oil production, millions of barrels per day","NGDPMO_MBD","Value","17186502.29174250","17183471.99452050","17742745.47945210","18301803.41078310","17366334.82218450","17823339.43561640","17292695.52602740","16125497.87411110","15885689.04109590","18141423.00724230","16948334.01826480",
"Azerbaijan","912","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","14152000000.00000000","13758270000.00000000","5016690000.00000000","3974370000.00000000","5334599899.71718980","5625743499.32126050","6258020603.57028960","6369444146.46162030","7074998662.02903080","8995700000.00000000","9195700000.00000000",
"Yemen, Republic of","474","Exports of goods and services, billions of US dollars","BX_USD","Value","9036683924.76602940","9287266913.47854040","3841895877.42842010","1506135196.89150020","2600533659.37295010","1749064361.43653040","1907353048.20640990","1913007458.03278970","2514643713.22460990","2488325260.52694990","1528860974.12534020",
"Yemen, Republic of","474","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","17.92800722","16.80927362","17.21534362","23.12475764","30.29653891","40.49689561","42.31760531","38.58724107","41.13551840","42.02056169","45.63823975",
"Egypt","469","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","79.81205004","80.87404103","83.75367718","91.58629840","97.80032277","87.94908062","80.09206576","86.22247505","89.90260134","88.53352682","92.68414018",
"Libya","672","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","75352245586.63789400","57373324040.12709800","48718263323.27520000","49912935019.05540500","67152892044.49919900","76682111438.57980300","69279503472.83369400","46921121126.33570100","35224217839.62670100","37795675346.02570300","40193880680.59729800",
"West Bank and Gaza","487","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","13515500000.00000000","13989700000.00000000","13972400000.00000000","15405400000.00000000","16128000000.00000000","16276600000.00000000","17133500000.00000000","15531700000.00000000","18109000000.00000000",,,
"Bahrain","419","Gross domestic product, constant prices, percent change","NGDP_R_PCH_PT","Value","5.41644341","4.35105222","2.48528084","3.55803213","4.29169633","2.11034333","2.16699762","-4.64495470","2.59092369","4.89101270","2.74399935",
"Morocco","686","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","-6.80610325","-5.51395271","-1.96121207","-3.75048092","-3.16317853","-4.88335786","-3.42128314","-1.16588010","-2.34779682","-3.53063320","-3.06477861",
"Kuwait","443","Non-Oil real GDP growth, constant prices, percent change","NGDPXO_R_PCH_PT","Value","4.24931087","4.80623469","0.37796336","1.60348477","2.63231314","3.16148587","-0.56478566","-7.96845195","3.43475238","4.03308955","3.79882657",
"GCC","450","Non-oil revenue, Gen govt, in percent of Non-oil GDP","GGRXO_GDPXO_PT","Value","12.74417824","12.97907819","11.37295283","14.50926833","13.36913971","15.26742600","17.19318510","18.21662947","18.80794155","18.75680995","19.42430555",
"United Arab Emirates","466","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","18.29315882","13.15876261","4.73995505","3.57479954","7.04199193","9.65752335","8.92860051","6.03845914","11.54947978","11.74350245","8.16351965",
"Algeria","612","Balance on Current Account, US Dollars","BCA_USD","Value","834960382.92999697","-9435627260.57221030","-27289577237.34170200","-26473435166.55350100","-22330868697.91420000","-16883754772.50700000","-16910937677.20869800","-18681438255.33179900","-4511992016.58708950","19063896639.69200100","6532556051.81052020",
"Pakistan","564","Broad money, percent change","FMB_PCH_PT","Value","15.89376756","12.53583474","13.19972124","13.67389335","13.69239488","9.71326827","11.26031923","17.47063466","16.21241727","13.60185422","14.22935900",
"Oman","449","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","89936131415.90069600","92699123129.79380800","78710880568.25669900","75128854987.96589700","80856575502.36590600","91505397927.96020500","88060684998.03070100","75908712613.78410300","88191937581.27439900","114666840052.01601000","108282180666.60399000",
"Georgia","915","Exports of goods and services, billions of US dollars","BX_USD","Value","7171698272.02999970","7038666142.47999950","6108160411.31000040","6177733455.89000030","7560033324.67000100","8896617467.44000050","9546068065.72999950","5926626714.81999970","8086176189.39000030","13190553569.15000200","15456948485.02799800",
"Turkmenistan","925","Broad money, percent change","FMB_PCH_PT","Value","31.19684320","11.39442508","16.12457659","9.42135230","11.38941963","8.40534332","12.88712495","11.75978758","-1.35147909","0.97140587","5.91524118",
"Saudi Arabia","456","Imports of goods and services, billions of US dollars","BM_USD","Value","229995400000.00000000","259006900000.00000000","247307300000.00000000","198110200000.00000000","201975700000.00000000","209589400000.00000000","218940900000.00000000","182183700000.00000000","213015900000.00000000","258789200000.00000000","275323120808.07703000",
"Azerbaijan","912","Broad money, percent change","FMB_PCH_PT","Value","15.40564909","11.39850901","-1.29576930","-1.86643593","9.01151872","5.73336791","19.88850498","1.10663839","18.71055908","23.60485006","7.70825422",
"Kuwait","443","Crude oil exports, millions of barrels per day","NXGOC_MBD","Value","2061712.32876712","1994753.42465753","1965435.61643836","2128016.43835616","2027484.93150685","2050452.05479452","1988805.47945205","1902558.90410959","1916478.79273127","2153256.07066045","2060905.26457617",
"Kyrgyz Republic","917","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","47.12475568","53.59678577","67.08734530","59.07281848","58.78610661","54.81799104","48.84825072","63.64300740","56.20105464","49.21937552","47.01747598",
"Kazakhstan","916","Non-oil revenue, Gen govt, in percent of Non-oil GDP","GGRXO_GDPXO_PT","Value","16.75412260","15.56366643","12.20281163","15.77801368","17.48290072","18.33722161","18.17440654","18.08726021","15.98401590","17.14098729","19.64809177",
"Uzbekistan","927","Imports of goods and services, billions of US dollars","BM_USD","Value","17342561458.87780000","16400831763.86910200","14667874619.88260100","14481010181.48220300","16470145509.63240200","23443547241.06200000","26587726388.80440100","22638064107.09220100","27935890711.02920200","35610222165.94460300","40202219125.70829800",
"Oman","449","Crude oil exports, millions of barrels per day","NXGOC_MBD","Value","833424.65753425","800425.26027397","844207.83561644","882029.04109589","806069.86301370","792552.87671233","850239.45205479","780955.34246575","780481.93583738","875041.09589041","865829.04109589",
"Egypt","469","Exports of goods and services, billions of US dollars","BX_USD","Value","49014700000.00000000","43459800000.00000000","44056900000.00000000","34783900000.00000000","37128300000.00000000","47313900000.00000000","52918600000.00000000","47664900000.00000000","44671600000.00000000","70832100000.00000000","73701897477.30679300",
"Qatar","453","Crude oil production, millions of barrels per day","NGDPMO_MBD","Value","697774.54105753","673052.09315068","636438.35616438","645988.30434228","607394.25205480","599158.61369863","579167.51232877","554035.65479452","550000.00000000","550000.00000000","550000.00000000",
"Saudi Arabia","456","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","7.79629224","8.36864021","10.38693236","14.33578726","17.50782943","17.84111767","22.22185828","32.40327465","31.65178322","23.89232685","24.79334300",
"Kazakhstan","916","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","24.75432959","23.74208229","16.61101026","17.00845307","19.82240888","21.42619091","19.67894188","17.50907394","17.10360307","21.80864322","22.01767992",
"Iran, Islamic Republic of","429","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","12.47564048","13.11169515","14.82250489","15.26469753","15.50444514","13.61153177","9.65716716","7.23936584","7.99059534","8.18117458","8.25199942",
"Iran, Islamic Republic of","429","Gross domestic product, constant prices, percent change","NGDP_R_PCH_PT","Value","-1.52197920","4.98477507","-1.42488494","8.81508664","2.75850525","-1.83800757","-3.07058798","3.33028846","4.71977773","3.77663562","2.97640614",
"United Arab Emirates","466","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","67383391669.72989700","77702065659.95799300","93229566937.81700100","85188753797.01699800","95156284582.76020800","99291814137.87910500","108148873525.76601000","106479781311.27200000","127802450610.97800000","135279464797.64302000","169461613147.10901000",
"Qatar","453","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","49.84975564","47.71742829","60.21525890","35.24337477","32.09978286","34.75458198","37.30818279","35.97149910","33.67911848","37.76148002","34.64835222",
"Lebanon","446","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","161.17241723","167.32541790","167.25925229","182.23308281","190.67183361","197.98856820","348.85428768","627.12005623","683.80929563","890.97965169",,
"Yemen, Republic of","474","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","22.95345000","21.11110474","10.25727417","7.54398753","3.48790726","6.20966154","6.94099535","6.13042565","6.70316396","8.49365833","4.34626696",
"United Arab Emirates","466","Imports of goods and services, billions of US dollars","BM_USD","Value","293096013614.70398000","319291027910.14301000","305786249149.08099000","310423373095.97302000","318145687701.03802000","322573498927.16101000","321524846834.58197000","273682777399.59201000","320408441116.40601000","386197208985.70502000","400471487133.14697000",
"Bahrain","419","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","32539494680.85110100","33387659574.46810200","31050638297.87229500","32234973404.25529900","35473750000.00000000","37801941489.36170200","38653776595.74469800","34621702127.65959900","39288377659.57450100","44382686170.21279900","44993566562.02790100",
"Turkmenistan","925","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","-8.11139201","-7.81983622","-17.28109074","-23.10746723","-11.09580590","4.94710683","2.77289756","2.58893176","6.52904038","7.09228728","3.38692082",
"Qatar","453","Non-oil revenue, Gen govt, in percent of Non-oil GDP","GGRXO_GDPXO_PT","Value","15.92283428","18.22850659","21.42010165","13.90030440","14.27806119","14.39952011","16.84793299","14.94366247","15.46870629","15.06341295","14.40002676",
"Yemen, Republic of","474","Gross domestic product, constant prices, percent change","NGDP_R_PCH_PT","Value","4.82351908","-0.18869024","-27.99454624","-9.37512382","-5.07179564","0.75244759","2.10000000","-8.50000000","-1.00000000","1.50000000","-0.50000000",
"Yemen, Republic of","474","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","-3.07241644","1.31537242","-3.13386970","-5.84152541","-2.33928998","-5.39033860","-6.05331228","-17.02405470","-15.43039747","-17.82084424","-19.42894821",
"Azerbaijan","912","Imports of goods and services, billions of US dollars","BM_USD","Value","19475516000.00000000","19718722000.00000000","18446480000.00000000","16526981000.00000000","17105068000.00000000","17705198000.00000000","17712459000.00000000","15537819000.00000000","16336950000.00000000","21274432000.00000000","15857837966.09979800",
"Djibouti","611","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","24.57338816","26.85642375","40.26048498","45.92330628","47.98978086","48.17992492","41.75641308","42.19963086","40.80785952","40.43794371","41.84304656",
"Tajikistan","923","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","29.29164178","27.89232923","35.01893365","42.17921416","46.29983444","46.58473193","43.49451316","51.76168085","42.09683688","32.58768607","33.50762407",
"Uzbekistan","927","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","27.37842242","26.76327946","24.28960018","24.00800760","23.50091447","26.78444011","26.79056768","25.45964691","25.93241181","30.86954532","29.70398064",
"Iraq","433","Oil real GDP growth, constant prices, percent change","NGDPO_R_PCH_PT","Value","3.13844343","5.44569241","18.36531643","24.61607657","-3.53963201","-1.32386120","3.76032199","-12.63149818","-0.66114850","12.03638341","-6.88654156",
"Lebanon","446","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","33891872314.00000000","32731809223.23379900","30952689326.83570100","34456978063.40270200","36261034049.13179800","31446951335.84199500","24521120798.34109900","17650008923.02220200","13613938424.09520100","10624247137.64740000",,
"Algeria","612","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","192357254599.99997000","177400000000.00000000","142644000000.00000000","112930000000.00000000","96053000000.00000000","78630000000.00000000","61515000000.00000000","46870000000.00000000","45391328082.00000000","63689876359.00000000","71978989387.91510000",
"Azerbaijan","912","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","2.40761478","1.36686714","4.03991370","12.44750894","12.93683725","2.26159373","2.59481038","2.76264591","6.66414237","13.85871494","10.32871384",
"United Arab Emirates","466","Oil real GDP growth, constant prices, percent change","NGDPO_R_PCH_PT","Value","3.20593639","-0.38467867","9.37205153","4.03712424","-6.92140535","4.45399617","-2.64635487","-3.75722678","-1.05221223","9.53718367","1.25030727",
"Qatar","453","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","198727747252.74701000","206224725274.72501000","161739835164.83499000","151732142857.14301000","161099175824.17599000","183334953813.20901000","176371267689.08200000","144411363345.26999000","179677197802.19800000","236415109890.10999000","235500436352.31601000",
"Georgia","915","Balance on Current Account, US Dollars","BCA_USD","Value","-955492553.19499910","-1784183121.52000000","-1767022015.05999990","-1885853892.39000010","-1308247961.79000000","-1192211061.86999990","-1024538193.70000000","-1980622816.59999990","-1937420764.77000000","-978764803.77000117","-1821322661.48884010",
"Oman","449","Oil real GDP growth, constant prices, percent change","NGDPO_R_PCH_PT","Value","1.04586390","-1.73645037","4.46553438","3.38938457","-2.07174774","4.22337354","-1.53703311","-3.59258536","5.19084597","9.62097303","-0.30032207",
"Kuwait","443","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","174179408437.04599000","162695123130.05499000","114605703140.80000000","109398273532.08899000","120687654524.47701000","138211435069.16400000","136190285367.66800000","105951832802.67798000","137379350420.56300000","175398503483.64899000","159686784802.33899000",
"Jordan","439","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","13824004528.00000000","16044037088.00000000","16569567032.00000000","15540086876.00000000","15581664315.93790200","14576868829.33709900","15401833568.40620000","16960084626.23409800","19045275035.26089900","18190267983.07479900","18417851158.79800000",
"MENAP","440","Exports of goods and services, billions of US dollars","BX_USD","Value","1601992710724.62990000","1548891717371.45020000","1147840060782.58010000","1082533506550.18990000","1226405196687.35010000","1423140737697.65990000","1336598556755.84010000","1013639619132.34000000","1388461674766.75000000","1910465315877.12040000","1728414623361.26000000",
"Yemen, Republic of","474","Imports of goods and services, billions of US dollars","BM_USD","Value","12186114205.84930000","11567517016.34420000","9047501982.14878080","8227805637.81859110","8933499335.32765960","10224399195.37730000","11857049763.54670100","12472193389.48169900","14076387108.01759900","15640456621.37730000","14991259790.12200000",
"Kuwait","443","Balance on Current Account, US Dollars","BCA_USD","Value","70197628458.49800100","54402774563.76490000","4012644095.31275990","-5060260900.74189000","9609362122.96027950","19894900696.61410100","17861485383.03820000","4852641031.92097000","37387494405.79920200","63167005056.80059100","48414874493.35939800",
"Pakistan","564","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","258674350245.44699000","271421776741.90201000","299930157971.78998000","313622595104.49103000","339229323501.07501000","356162613241.10699000","321071143679.32898000","300410020763.85699000","348481344939.34601000","374657502238.85498000",,
"Qatar","453","Imports of goods and services, billions of US dollars","BM_USD","Value","58953296703.29670000","64004395604.39559900","59271428571.42849700","63475274725.27469600","62192582417.58239700","65810989010.98909800","66769780219.78030400","59064560439.56041000","61204395604.39559900","74520054945.05490100","74018508524.27420000",
"Kazakhstan","916","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","1.91320260","-1.28843678","-5.41216293","-5.07293522","-2.05412408","-0.98449878","-3.86872463","-6.40714807","-1.29814350","3.46576890","-1.51696639",
"Qatar","453","Crude oil exports, millions of barrels per day","NXGOC_MBD","Value","631232.87671233","605205.47945205","561753.42465753","570684.93150685","535616.43835616","536642.33123868","549410.31749022","470628.68430364","481319.43530620","495759.01836539","495759.01836539",
"Lebanon","446","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","20.00650894","22.56122889","19.17516474","19.39952013","21.91748708","21.02556788","20.79158562","16.02775235","9.77349772","6.34236589",,
"Libya","672","Crude oil exports, millions of barrels per day","NXGOC_MBD","Value","765347.74961937","397716.88049636","333699.21184535","319237.38052562","683000.00000000","787363.33333333","895319.92460606","244178.16125620","982138.82638604","814944.61319256","965860.28230229",
"Egypt","469","Gross domestic product, constant prices, percent change","NGDP_R_PCH_PT","Value","3.30194374","2.93029227","4.36018783","4.33972545","4.19123345","5.32740501","5.54762453","3.57335040","3.25348236","6.65279534","4.15679865",
"Bahrain","419","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","150.43202001","154.11936344","174.81916122","178.12576246","172.57120557","185.94650727","204.93511714","232.42203343","224.35679119","197.81757170","201.22467687",
"Morocco","686","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","115608059864.70699000","119130845829.48198000","110413820681.03400000","111572946646.53500000","118540574727.55200000","127341141871.20500000","128920265075.52499000","121353640939.72099000","141817796702.57199000","130912555698.50301000","147342769354.19299000",
"Sudan","732","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","8.91559962","8.20961559","8.17720395","5.84058108","6.55613646","8.75759313","7.37538311","4.65517239","8.43966252","15.07032093","5.32171540",
"United Arab Emirates","466","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","1.10405310","2.34583841","4.06798031","1.61856225","1.96577535","3.07059822","-1.93439059","-2.07606534","-0.11320409","4.82745977","3.11541795",
"Djibouti","611","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","33.93282247","36.09912284","50.24217308","63.24098243","70.63777077","70.92067011","70.08395833","74.99799140","72.36332165","76.09871313","79.48410986",
"Afghanistan","512","Total revenue Excl. grants, Gen govt, percent of GDP","GGRXG_GDP_GDP_PT","Value","9.76126078","8.45417348","9.97290707","11.53798776","13.09151379","14.30141492","14.08851501","11.18716762","11.25307382",,,
"Qatar","453","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","30.88322557","24.91195724","35.54688118","46.70677434","51.56880701","52.17736098","62.08743467","72.61041644","58.40755323","42.44489868","41.35383486",
"Turkmenistan","925","Gross domestic product, current prices, billions of US dollars","NGDPD_USD","Value","51301390279.82910200","55522769157.50420400","44059949568.82460000","41698092107.01540400","46365032912.13890800","48686064931.08940100","52960916595.35569800","53194140524.59510000","64366733121.93710300","77252187106.00740100","81821840290.04739400",
"Qatar","453","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","57.83902545","56.24366889","88.35486035","127.19112628","103.20212619","108.11565775","137.55669939","187.04263842","161.46526509","115.90285759","114.25851715",
"Iraq","433","Broad money, percent change","FMB_PCH_PT","Value","15.96461039","3.88191661","-9.11095060","7.05903000","2.63939275","2.73208224","8.44987782","15.95848583","16.66644502","20.26345477","6.56841987",
"Pakistan","564","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","-0.96491979","-1.15318676","-0.93855183","-1.58183756","-3.61702222","-5.38939217","-4.18411940","-1.48097590","-0.80922553","-4.66586146","-0.70074899",
"Bahrain","419","Crude oil production, millions of barrels per day","NGDPMO_MBD","Value","197594.52054794","202413.69863014","201520.54794521","202583.56164384","197145.20547945","194178.08219178","194208.21917808","194720.54794521","192989.04109589","189531.31049993","189531.50684931",
"Morocco","686","Gross domestic product, constant prices, percent change","NGDP_R_PCH_PT","Value","4.53543901","2.66942515","4.34458298","0.52116678","5.05793458","3.06559448","2.89097284","-7.17821592","8.02101918","1.25859274","2.38496545",
"MENA","441","Broad money, percent change","FMB_PCH_PT","Value","17.95729511","11.89781886","8.01275008","7.77177012","12.67321439","10.12646705","10.36404193","13.00170757","12.26901003","13.71586401","24.85936434",
"Bahrain","419","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","43.93778428","44.39837945","66.17634715","81.32570429","88.12918303","94.60703147","101.63486269","130.11504283","127.13081328","117.58173382","121.16775327",
"Iran, Islamic Republic of","429","Broad money, percent change","FMB_PCH_PT","Value","38.84971571","22.31035718","30.02297757","23.20993237","22.06735334","23.06631459","31.29550850","40.61323140","39.01621612","31.14865368","46.67139025",
"Iraq","433","Non-Oil real GDP growth, constant prices, percent change","NGDPXO_R_PCH_PT","Value","12.40444211","-3.85609397","-14.40827588","1.25807842","-3.14263195","15.63896776","7.85616911","-11.19646755","4.86489297","-0.03225914","3.71271481",
"Lebanon","446","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","5.55898703","1.12847948","-3.76095222","-0.80735206","4.48523682","6.05784371","2.89107673","84.88001215","154.75867735","171.19685268",,
"Morocco","686","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","33.42382356","39.72214400","40.28006185","43.74031870","42.54949321","41.30410956","42.43496721","50.83129642","47.36363159","50.89237519","50.10413867",
"Kazakhstan","916","Crude oil production, millions of barrels per day","NGDPMO_MBD","Value","1678767.12328767","1660273.97260274","1623287.67123288","1602739.72602740","1771232.87671233","1855479.45205479","1857534.24657534","1760958.90410959","1760619.86301370","1729335.61643836","1836986.30136986",
"Iraq","433","Crude oil exports, millions of barrels per day","NXGOC_MBD","Value","2390521.50537634","2622577.89211470","3350709.59453405","3793250.74187060","3797761.77150538","3862000.00000000","3968250.00000000","3429479.51881720","3438693.46637543","3713054.16666667","3280218.55282176",
"Azerbaijan","912","Gross domestic product, constant prices, percent change","NGDP_R_PCH_PT","Value","5.84341576","2.76758543","1.07954637","-3.06359845","0.15361465","1.47040171","2.47980893","-4.19896079","5.61644027","4.57653360","2.51441880",
"Saudi Arabia","456","Total government debt, Gen govt, percent of GDP","GGD_GDP_GDP_PT","Value","2.12726718","1.54099231","5.66804006","12.67848863","16.52581708","17.63306579","21.55252463","31.00215797","28.80729631","23.82308406","24.07971744",
"Lebanon","446","Exports of goods and services, billions of US dollars","BX_USD","Value","20890158496.74850100","19263050822.31520100","19825251211.19559900","19097995896.99380100","19156450753.55619800","19616913562.03329800","18418294490.76369900","8952663018.42715070","10317786600.42380000","12551303909.60899900",,
"Morocco","686","Imports of goods and services, billions of US dollars","BM_USD","Value","49922539345.21190600","49807450679.99289700","41226335693.60630000","45131142668.94519800","49340796963.15160400","55384437191.02970100","54098396915.73680100","46250401327.64170100","60242972958.02619900","73753671717.70430000","72379836565.96069300",
"Mauritania","682","Gross international reserves, Central Bank, billions of US Dollars","FAFAR_USD","Value","996372801.97525084","639112358.75841200","822760030.32942796","824437666.51063013","849015213.42783201","918333126.38801908","1134880269.16488000","1542399392.39569000","2347483617.62728020","1876556925.85726020","1882652049.42112990",
"MENAP","440","Balance on Current Account, US Dollars","BCA_USD","Value","326674078733.12000000","190790233512.49500000","-123786921367.81799000","-125736695610.42400000","-30994042872.15459800","111781703793.31700000","23441324354.81240100","-101369211147.34399000","129359782732.59901000","375263401378.33606000","192145606914.04404000",
"Yemen, Republic of","474","Broad money, percent change","FMB_PCH_PT","Value","12.50877457","0.14831055","4.27210096","14.15912810","15.81609195","28.53373187","8.52984993","12.17503390","7.88091330","0.33752473","4.87387930",
"Turkmenistan","925","Total external debt, in percent of GDP","D_GDP_GDP_PT","Value","15.87697204","12.45545696","14.80732970","18.15247321","16.79534018","15.70218298","12.09448479","9.87413453","7.53494820","5.82507780","5.13050781",
"Iran, Islamic Republic of","429","Current account balance, in percent of GDP","BCA_GDP_GDP_PT","Value","5.86102669","2.94525393","0.30248235","2.88968879","3.06370109","7.86221223","-0.68319589","-0.36158473","3.85247621","4.16562480","3.43700413",
"Kazakhstan","916","Consumer price inflation, percent change, year average","PCPI_PCH_PT","Value","5.82930555","6.71671459","6.65147957","14.55635492","7.42931448","6.02504558","5.24366729","6.79858196","8.00186628","14.95560215","15.01197435",
"Tajikistan","923","Imports of goods and services, billions of US dollars","BM_USD","Value","5350511282.32511040","4198516944.59181930","3324910989.98429010","2926961805.39895060","2763908494.62397000","3221409696.26856950","3408834755.03576950","3125470481.75911000","4258314133.13404990","5260967405.39879040","5745631729.73297980",
