Country,2024,2025,2026,2027,2028
Afghanistan,-24.97952034,-24.78412966,-32.54156224,-42.72707123,-56.10064452
Algeria,-21.30003009,-20.48175967,-26.89255045,-35.30991874,-46.3619233
Armenia,-13.97317596,-13.14508228,-17.25949303,-22.66171435,-29.75483095
Azerbaijan,-29.74161284,-28.00616274,-36.77209168,-48.28175637,-63.39394612
Bahrain,-9.09065365,-9.13161232,-11.98980698,-15.74261656,-20.67005554
Djibouti,-32.56765019,-31.25183324,-41.03365704,-53.8771917,-70.7407527
Egypt,-6.82579525,-7.0063822,-9.199379829,-12.07878571,-15.85944564
Georgia,-3.02987869,-3.03888904,-3.99006131,-5.238950499,-6.878742006
"Iran, Islamic Republic of",-28.70730842,-27.53773111,-36.15704095,-47.47419476,-62.33361773
Iraq,2.29303846,2.66128695,3.494269765,4.587976202,6.024012753
Jordan,0.89619716,0.55090904,0.72334357,0.949750107,1.24702189
Kazakhstan,-3.03652338,-3.4051883,-4.471012238,-5.870439068,-7.707886497
Kuwait,-7.6297888,-6.74790942,-8.860005068,-11.63318665,-15.27437408
Kyrgyz Republic,-4.36034153,-4.33538271,-5.692357498,-7.474065395,-9.813447864
Lebanon,-0.12854952,0.01197137,0.015718409,0.020638271,0.02709805
Libya,-8.51047931,-7.83482555,-10.28712595,-13.50699637,-17.73468623
Mauritania,-2.53020499,-1.9441481,-2.552666455,-3.351651056,-4.400717836
Morocco,-2.45617546,-2.3,-3.0199,-3.9651287,-5.206213983
Oman,-2.75744603,-1.62646742,-2.135551722,-2.803979412,-3.681624967
Pakistan,-0.46515843,-1.31142989,-1.721907446,-2.260864476,-2.968515057
Qatar,-2.09254431,-1.9340279,-2.539378633,-3.334204145,-4.377810042
Saudi Arabia,-1.10315429,-1.86633447,-2.450497159,-3.21750277,-4.224581137
Somalia,-7.66764906,-5.30581532,-6.966535515,-9.147061131,-12.01009127
Sudan,-1.67528824,-1.26395501,-1.659572928,-2.179019255,-2.861052281
Tajikistan,27.28621997,28.08719763,36.87849049,48.42145801,63.57737437
Tunisia,5.06901884,4.70216587,6.173943787,8.106388193,10.6436877
Turkmenistan,-2.50337921,-2.47694933,-3.25223447,-4.270183859,-5.606751408
United Arab Emirates,-4.28803647,-3.78353837,-4.96778588,-6.52270286,-8.564308855
Uzbekistan,-3.01092191,-2.59450263,-3.406581953,-4.472842105,-5.872841683
West Bank and Gaza,-7.59833984,-8.79965624,-11.55394864,-15.17033457,-19.91864929
"Yemen, Republic of",-7.39246386,-7.26036836,-9.532863657,-12.51664998,-16.43436143
