Country,2024,2025,2026,2027,2028
Canada,5.765,5.509,2.79,1.42,0.72
Mexico,6.38,7.71,3.91,1.98,1.00
Puerto Rico,2.68,2.75,1.39,0.71,0.36
United States,1.367,1.548,0.78,0.40,0.20
Argentina,6.6,6.5,3.30,1.67,0.85
Bolivia,8.289,9.281,4.71,2.39,1.21
Brazil,6.763,6.355,3.22,1.63,0.83
Chile,3.063,2.254,1.14,0.58,0.29
Colombia,2.02,2.11,1.07,0.54,0.27
Ecuador,2.5,2.63,1.33,0.68,0.34
Paraguay,8,7.5,3.80,1.93,0.98
Peru,5.995,5.995,3.04,1.54,0.78
Uruguay,4.113,3.039,1.54,0.78,0.40
Venezuela,5,4,2.03,1.03,0.52
Costa Rica,8.79,8.89,4.51,2.29,1.16
Dominican Republic,7,5,2.54,1.29,0.65
El Salvador,1.22,1.28,0.65,0.33,0.17
Guatemala,0.896,1.7,0.86,0.44,0.22
Honduras,16.716,7.656,3.88,1.97,1.00
Nicaragua,2.47,2.57,1.30,0.66,0.33
Panama,4.2,4,2.03,1.03,0.52
Antigua and Barbuda,3.4,3.4,1.72,0.87,0.44
Aruba,3.18,3,1.52,0.77,0.39
"Bahamas, The",1.14,1.21,0.61,0.31,0.16
Barbados,2.808,2.083,1.06,0.54,0.27
Belize,5,5.05,2.56,1.30,0.66
Dominica,6,6,3.04,1.54,0.78
Grenada,8.005,8,4.06,2.06,1.04
Jamaica,2.829,2.995,1.52,0.77,0.39
St. Kitts and Nevis,1.709,2.018,1.02,0.52,0.26
St. Lucia,8.032,7.884,4.00,2.03,1.03
St. Vincent and the Grenadines,1.86,1.973,1.00,0.51,0.26
Haiti,6.323,6.255,3.17,1.61,0.82
Guyana,2.13276,2.25069,1.14,0.58,0.29
Suriname,2.606,1.854,0.94,0.48,0.24
Trinidad and Tobago,6.677,6.552,3.32,1.68,0.85
